Vessel name,IMO Number,Flag,MMSI,Callsign,Crime Report Links,Crime report links
COBRA,9160695.0,,,cb6027,"https://goo.su/E2rhyBk, https://goo.su/ynirP, https://goo.su/BugHMl, https://goo.su/qg7TB, https://goo.su/Fqq85, https://goo.su/hPp87i, https://goo.su/v2ufduE, https://goo.su/fnZ0, https://goo.su/cXXLz, https://goo.su/iMKCb, https://goo.su/RDCJyJ, https://goo.su/ptUWEE, https://goo.su/OF5N7q, https://goo.su/ec7UUcg, https://goo.su/42g2EP, https://goo.su/Qs3xUDZ, https://goo.su/R0toiWw","https://goo.su/E2rhyBk, https://goo.su/ynirP, https://goo.su/BugHMl, https://goo.su/qg7TB, https://goo.su/Fqq85, https://goo.su/hPp87i, https://goo.su/v2ufduE, https://goo.su/fnZ0, https://goo.su/cXXLz, https://goo.su/iMKCb, https://goo.su/RDCJyJ, https://goo.su/ptUWEE, https://goo.su/OF5N7q, https://goo.su/ec7UUcg, https://goo.su/42g2EP, https://goo.su/Qs3xUDZ, https://goo.su/R0toiWw"
DON ALFONSO,9169251.0,,,cbds,,
DON EDMUNDO,9160918.0,,,cb5797,,
ERIKA,8505460.0,,,ca2823,https://goo.su/M0Iol,https://goo.su/M0Iol
RAPANUI,9123063.0,,,cb5701,,
YELCHO I,9111785.0,,,cb5536,,
NISSHIN MARU 3,,,,,,
FOCHE,,,,,,
ALTAIR I,,,,,,
ANTARES,8021464.0,,273431030.0,UBIR9,,
MAORI,,,,,,
N.S. DE LA TIRANA II,,,,,,
ATACAMA IV,9007697.0,,,cb3991,,
COLLEN,,,,,,
EMILIA,9012642.0,,,IZYD,"https://goo.su/Ibh1UGS, https://goo.su/pxrc, https://goo.su/vEzXact, https://goo.su/TZN7mH, https://goo.su/ZDTFF, https://goo.su/UmwS4, https://goo.su/fAW4, https://goo.su/Zg0Fu, https://goo.su/CWZjI, https://goo.su/Lnmz2O, https://goo.su/KtCnwdA, https://goo.su/3kz7qI7, https://goo.su/MEIZ, https://goo.su/U43Y, https://goo.su/7q2A8, https://goo.su/ZZSQMF, https://goo.su/vpTk7, https://goo.su/zEpYRB, https://goo.su/UGvM1, https://goo.su/G8FKcnv, https://goo.su/qMk44M, https://goo.su/khdSaqT, https://goo.su/FVXz, https://goo.su/jL66z, https://goo.su/skDgDX, https://goo.su/DELUN54, https://goo.su/LVFzzTE, https://goo.su/YJPf4U, https://goo.su/FVXz, https://goo.su/UwKbWhF, https://goo.su/zthWov, https://goo.su/FVXz, https://goo.su/glfLbiS, https://goo.su/oaY5, https://goo.su/rsphOn9, https://goo.su/zOFEO, https://goo.su/EM5Up, https://goo.su/qNkVh, https://goo.su/ImJm4X, https://goo.su/im3Cg, https://goo.su/ub6N, https://goo.su/W5PpT, https://goo.su/k0VU, https://goo.su/uuzrrB, https://goo.su/vkRwr7, https://goo.su/iOkUexI, https://goo.su/0oSnJ","https://goo.su/Ibh1UGS, https://goo.su/pxrc, https://goo.su/vEzXact, https://goo.su/TZN7mH, https://goo.su/ZDTFF, https://goo.su/UmwS4, https://goo.su/fAW4, https://goo.su/Zg0Fu, https://goo.su/CWZjI, https://goo.su/Lnmz2O, https://goo.su/KtCnwdA, https://goo.su/3kz7qI7, https://goo.su/MEIZ, https://goo.su/U43Y, https://goo.su/7q2A8, https://goo.su/ZZSQMF, https://goo.su/vpTk7, https://goo.su/zEpYRB, https://goo.su/UGvM1, https://goo.su/G8FKcnv, https://goo.su/qMk44M, https://goo.su/khdSaqT, https://goo.su/FVXz, https://goo.su/jL66z, https://goo.su/skDgDX, https://goo.su/DELUN54, https://goo.su/LVFzzTE, https://goo.su/YJPf4U, https://goo.su/FVXz, https://goo.su/UwKbWhF, https://goo.su/zthWov, https://goo.su/FVXz, https://goo.su/glfLbiS, https://goo.su/oaY5, https://goo.su/rsphOn9, https://goo.su/zOFEO, https://goo.su/EM5Up, https://goo.su/qNkVh, https://goo.su/ImJm4X, https://goo.su/im3Cg, https://goo.su/ub6N, https://goo.su/W5PpT, https://goo.su/k0VU, https://goo.su/uuzrrB, https://goo.su/vkRwr7, https://goo.su/iOkUexI, https://goo.su/0oSnJ"
ALBIMER,8903741.0,,,cb4139,,
BUCANERO I,9148489.0,,,cb5903,,
CLAUDIA ALEJANDRA,8700735.0,,,cb3699,,
DUQUECO,9083809.0,,,cb5274,,
MARIA JOSE,8678451.0,,,OA-2348,,
PEHUENCO,9124457.0,,,cbph,,
PELICANO,9105671.0,,,ca2541,,
Abdon I,,,,,,
Abraham,,,,,"https://goo.su/i6qR, https://goo.su/uzYIu, https://goo.su/vkiBgt, https://goo.su/agkN6b, https://goo.su/EM5Up","https://goo.su/i6qR, https://goo.su/uzYIu, https://goo.su/vkiBgt, https://goo.su/agkN6b, https://goo.su/EM5Up"
Amadeus,9099511.0,,,EIA2574,,
Amadeus II,,,,,,
AUDAZ,8700747.0,,,cb2515,https://goo.su/CCj7C1k,https://goo.su/CCj7C1k
AVENTURERO,8611403.0,,,cb3232,,
CORPESCA 2,8699558.0,,,CA3503,,
HURACAN,8903753.0,,,cb4237,,
INTRÉPIDO,,,,,https://goo.su/wN2w2jt,https://goo.su/wN2w2jt
MERO,8803329.0,,,cb4072,"https://goo.su/m2EXJ, https://goo.su/jML7Od, https://goo.su/MEIZ, https://goo.su/vNnI, https://goo.su/fxiY, https://goo.su/qZ556u, https://goo.su/88sdNKn, https://goo.su/GlJj, https://goo.su/VXcTr4, https://acortar.link/VHWfA8, https://goo.su/IJ9gR","https://goo.su/m2EXJ, https://goo.su/jML7Od, https://goo.su/MEIZ, https://goo.su/vNnI, https://goo.su/fxiY, https://goo.su/qZ556u, https://goo.su/88sdNKn, https://goo.su/GlJj, https://goo.su/VXcTr4, https://acortar.link/VHWfA8, https://goo.su/IJ9gR"
TRUENO I,8917091.0,,,cb4238,,
Aries I,,,,,,
Barracuda IV,8803317.0,,,cb4034,,
Blanquillo,8803343.0,,,cb4235,,
