Vessel name,IMO Number,Flag,MMSI,Callsign,National registration number,Crime Report Links,Crime report links
SANTA MARIA 1,,Ecuador,,,P-00-00875,,
SIMY 5,,Ecuador,,,P-06-08313,,
NEPTUNO,,,,,P-00-00541,,
NILAHUE,,Ecuador,,,P-00-00801,,
PUMANQUE,,Ecuador,,,P-00-00802,,
CAPLINA 9,,Ecuador,,,P-00-00869,,
ANDELKA,,,,,P-00-00887,,
DALMACIA II,,Ecuador,,,P-00-00891,,
G&D,,Ecuador,,,P-00-00922,,
"DIMOLFIN S.A.
B/P MARIA EMILIA",,,,,P-00-00632,,
BENJAMIN ANTONIO,,,,,P-00-00949,,
LAMANTEPEC I,,,,,P-00-00610,,
COATEPEC I,,,,,P-00-00612,,
CAVINKO I,,,,,P-00-00639,,
POLAR IX,,,,,P-00-00661,https://goo.su/2EA80,https://goo.su/2EA80
POLAR VIII,,,,,P-00-00684,,
POLAR I,8793964.0,,,OA2244,P-00-00716,,
POLAR II,,,,,P-00-00717,,
PALMA,,,,,P-00-00906,"https://goo.su/C4Q0, https://goo.su/RLUM, https://goo.su/7Kik5zp, https://goo.su/oqZHLX, https://goo.su/Y1DoV, https://goo.su/tUdjnL, https://goo.su/UypFO, https://goo.su/7LKjdMx, https://goo.su/yVM7i","https://goo.su/C4Q0, https://goo.su/RLUM, https://goo.su/7Kik5zp, https://goo.su/oqZHLX, https://goo.su/Y1DoV, https://goo.su/tUdjnL, https://goo.su/UypFO, https://goo.su/7LKjdMx, https://goo.su/yVM7i"
VALENTINA,,,247086280.0,ILCO,P-00-00898,"https://goo.su/JY8YOZQ, https://goo.su/PSsro","https://goo.su/JY8YOZQ, https://goo.su/PSsro"
