Vessel name,IMO Number,Flag,MMSI,Call Sign,National Registration Number,Crime Report Links,Crime report links
Edda,,Peru,,,PT1332CM,,
Pf16,,Peru,,,PT5123CM,,
Puntilla I,,Peru,,,PT6103PM,,
Miss America I,,Peru,,,PT6728CM,,
Miguel I,,Peru,,,PT10947CM,,
Ciudad Blanca,,Peru,,,PT11303PM,,
Snaefari,,Peru,,,PT12295PM,,
Quicktime,,Peru,,,CO17004BM,,
Ana Alexandra,,Peru,,,PT1727CM,,
Matilde,,Peru,,,CO2464PM,,
Tintorera,8572425.0,Peru,247088680.0,INNX,PT5384CM,,
Anico I,,Peru,,,PT6282CM,,
Anico Ii,,Peru,,,PT6283CM,,
Orca,8570996.0,Peru,525900560.0,YEC4506,PT6718CM,https://goo.su/tFCTBhV,https://goo.su/tFCTBhV
Isabel,,Peru,,,PT11392PM,"https://goo.su/EWIxMk, https://goo.su/TZN7mH, https://goo.su/ZA5TgUy, https://goo.su/OzJV7n, https://goo.su/rCEAuf, https://goo.su/zPdc, https://goo.su/GJqG, https://goo.su/URo2, https://goo.su/jgGc","https://goo.su/EWIxMk, https://goo.su/TZN7mH, https://goo.su/ZA5TgUy, https://goo.su/OzJV7n, https://goo.su/rCEAuf, https://goo.su/zPdc, https://goo.su/GJqG, https://goo.su/URo2, https://goo.su/jgGc"
Ana Maria,,Peru,,,PT11714PM,,
Mero,8803329.0,Peru,725010191.0,CB4072,CO12975CM,"https://goo.su/m2EXJ, https://goo.su/jML7Od, https://goo.su/MEIZ, https://goo.su/vNnI, https://goo.su/fxiY, https://goo.su/qZ556u, https://goo.su/88sdNKn, https://goo.su/GlJj, https://goo.su/VXcTr4, https://acortar.link/VHWfA8, https://goo.su/IJ9gR","https://goo.su/m2EXJ, https://goo.su/jML7Od, https://goo.su/MEIZ, https://goo.su/vNnI, https://goo.su/fxiY, https://goo.su/qZ556u, https://goo.su/88sdNKn, https://goo.su/GlJj, https://goo.su/VXcTr4, https://acortar.link/VHWfA8, https://goo.su/IJ9gR"
San Juan,,Spain,,,CE21348CM,"https://goo.su/uchU, https://goo.su/7Ys4ZMT, https://goo.su/wO98, https://goo.su/XGCj5, https://goo.su/EUQMFP, https://goo.su/lo8j, https://goo.su/7tYFs, https://goo.su/EagKb, https://goo.su/bj4D8, https://goo.su/ZDTFF, https://goo.su/KrJvb, https://goo.su/UWXYxnd, https://goo.su/f3FzQs, https://goo.su/I8xf, https://goo.su/M9MRKO, https://goo.su/vCsx, https://goo.su/O4AAwV, https://goo.su/h1zMv, https://goo.su/Emx4Ar, https://goo.su/kIKB2, https://goo.su/hN4MH, https://goo.su/Mgpo6, https://goo.su/KahH, https://goo.su/qJqDXn, https://goo.su/yW0vUG, https://goo.su/j1qcGSc, https://goo.su/XzK8w, https://goo.su/ldIX, https://goo.su/oG3V91, https://goo.su/ZpNp4, https://goo.su/JdXoU, https://goo.su/zlnSc, https://goo.su/AszTv6g, https://goo.su/wau5B, https://goo.su/dfpg4La, https://goo.su/2L1XjRh, https://goo.su/vOsO, https://goo.su/73Nv4M, https://goo.su/ivT1p, https://goo.su/OX8951A, https://goo.su/NPB1x, https://goo.su/pLnIN, https://goo.su/zkxMt, https://goo.su/7q2A8, https://goo.su/FwHGH, https://goo.su/PSCv, https://goo.su/g9mUN, https://goo.su/f7AWP, https://goo.su/AmV4, https://goo.su/LS43L, https://goo.su/yJgIEeQ, https://goo.su/vCsx, https://goo.su/Y7px, https://goo.su/FJC5UZ, https://goo.su/q46U, https://goo.su/0FREMy, https://goo.su/Di2xul, https://goo.su/G8FKcnv, https://goo.su/VEBWa2Y, https://goo.su/BkYKPU, https://goo.su/FVXz, https://goo.su/lRKGF, https://goo.su/HH7h, https://goo.su/FF2YlE, https://goo.su/VreHm, https://goo.su/yptqQd, https://goo.su/KpcZW7, https://goo.su/vRulE, https://goo.su/jFzh, https://goo.su/ZyXch, https://goo.su/gH2SP, https://goo.su/mzlc, https://goo.su/PXdq, https://goo.su/ESNjc, https://goo.su/ddevtDy, https://goo.su/Hb8T, https://goo.su/fzgQxd, https://goo.su/tQyq, https://goo.su/mJJLn02, https://goo.su/DFyoza, https://goo.su/WX3Bc, https://goo.su/lz88z, https://goo.su/kkPrKqH, https://goo.su/qME3gY, https://goo.su/FVXz, https://goo.su/lvEuU, https://goo.su/mzlc, https://goo.su/UqzyJ, https://goo.su/UTseB, https://goo.su/6tPfw9i, https://goo.su/s5U7Qxr, https://goo.su/BkYKPU, https://goo.su/FVXz, https://goo.su/vH2UJcC, https://goo.su/TtZx7rz, https://goo.su/lMRHKzv, https://goo.su/NXfl8b, https://goo.su/2Xz97, https://goo.su/UOSkB, https://goo.su/8gHRsy, https://goo.su/zFKj, https://goo.su/qFPJ, https://goo.su/HD7AxD, https://goo.su/igjRtk, https://goo.su/6VU1IGM, https://goo.su/0oSnJ, https://goo.su/iWdzRG","https://goo.su/uchU, https://goo.su/7Ys4ZMT, https://goo.su/wO98, https://goo.su/XGCj5, https://goo.su/EUQMFP, https://goo.su/lo8j, https://goo.su/7tYFs, https://goo.su/EagKb, https://goo.su/bj4D8, https://goo.su/ZDTFF, https://goo.su/KrJvb, https://goo.su/UWXYxnd, https://goo.su/f3FzQs, https://goo.su/I8xf, https://goo.su/M9MRKO, https://goo.su/vCsx, https://goo.su/O4AAwV, https://goo.su/h1zMv, https://goo.su/Emx4Ar, https://goo.su/kIKB2, https://goo.su/hN4MH, https://goo.su/Mgpo6, https://goo.su/KahH, https://goo.su/qJqDXn, https://goo.su/yW0vUG, https://goo.su/j1qcGSc, https://goo.su/XzK8w, https://goo.su/ldIX, https://goo.su/oG3V91, https://goo.su/ZpNp4, https://goo.su/JdXoU, https://goo.su/zlnSc, https://goo.su/AszTv6g, https://goo.su/wau5B, https://goo.su/dfpg4La, https://goo.su/2L1XjRh, https://goo.su/vOsO, https://goo.su/73Nv4M, https://goo.su/ivT1p, https://goo.su/OX8951A, https://goo.su/NPB1x, https://goo.su/pLnIN, https://goo.su/zkxMt, https://goo.su/7q2A8, https://goo.su/FwHGH, https://goo.su/PSCv, https://goo.su/g9mUN, https://goo.su/f7AWP, https://goo.su/AmV4, https://goo.su/LS43L, https://goo.su/yJgIEeQ, https://goo.su/vCsx, https://goo.su/Y7px, https://goo.su/FJC5UZ, https://goo.su/q46U, https://goo.su/0FREMy, https://goo.su/Di2xul, https://goo.su/G8FKcnv, https://goo.su/VEBWa2Y, https://goo.su/BkYKPU, https://goo.su/FVXz, https://goo.su/lRKGF, https://goo.su/HH7h, https://goo.su/FF2YlE, https://goo.su/VreHm, https://goo.su/yptqQd, https://goo.su/KpcZW7, https://goo.su/vRulE, https://goo.su/jFzh, https://goo.su/ZyXch, https://goo.su/gH2SP, https://goo.su/mzlc, https://goo.su/PXdq, https://goo.su/ESNjc, https://goo.su/ddevtDy, https://goo.su/Hb8T, https://goo.su/fzgQxd, https://goo.su/tQyq, https://goo.su/mJJLn02, https://goo.su/DFyoza, https://goo.su/WX3Bc, https://goo.su/lz88z, https://goo.su/kkPrKqH, https://goo.su/qME3gY, https://goo.su/FVXz, https://goo.su/lvEuU, https://goo.su/mzlc, https://goo.su/UqzyJ, https://goo.su/UTseB, https://goo.su/6tPfw9i, https://goo.su/s5U7Qxr, https://goo.su/BkYKPU, https://goo.su/FVXz, https://goo.su/vH2UJcC, https://goo.su/TtZx7rz, https://goo.su/lMRHKzv, https://goo.su/NXfl8b, https://goo.su/2Xz97, https://goo.su/UOSkB, https://goo.su/8gHRsy, https://goo.su/zFKj, https://goo.su/qFPJ, https://goo.su/HD7AxD, https://goo.su/igjRtk, https://goo.su/6VU1IGM, https://goo.su/0oSnJ, https://goo.su/iWdzRG"
Aurita,,Peru,,,PT22684CM,,
