Company name,Country,Crime Report Links
Mundo Branco S. A.,Argentina,
(Quirola),Ecuador,
San Arawa S.A.,Argentina,
Agustiner S.A.,Argentina,
Coomarpes Ltda.,Argentina,
Gihon- Laboratorios Químicos SRL,Argentina,
Harinas Patagonicas S.R.L,Argentina,
Industrial Maule Ltda,Chile,
Industrias Isla Quihua S.A.,Chile,
Biomar Ercilla,Chile,
"Baja Marine Foods,S.A.P.I. De C.V.",Mexico,
"California Bahías, S.A. De C.V.",Mexico,
Guaymas Protein Company SA de CV,Mexico,
"Industrial Pesquera Heras, S.A. de C.V.",Mexico,
Maz Industrial SA de CV,Mexico,
"Pescaharina de Guaymas, S.A. de C.V.",Mexico,
"Procesadora Mar De Ensenada, S. De R.L. De C.V.",Mexico,
"SERCONOMAR, S.A DE C.V.",Mexico,
"Selecta de Guaymas, S.A. de C.V.",Mexico,
Fiordo Austral S.A,Chile,
A&R Nutricao Animal,Brazil,
Fiordo Austral S.A.,Chile,
Sociedad Pesquera Landes S.A.,Chile,
Corpesca S.A.,Chile,
Trio SpA,Chile,
Alimentos Marinos S.A. ALIMAR,Chile,
Los Glaciares S.A.,Chile,
Blumar SA,Chile,
Compania Pesquera Camanchaca S.A,Chile,
Pesquera la Portada SA,Chile,
Copacol (Cooperativa Agroindustrial Consolata),Brazil,
Camanchaca Pesca Sur S.A.,Chile,
CAMANCHACA S A,Chile,
Industrias Barda SA de CV,Mexico,
Orizon S.A.,Chile,"https://goo.su/f3FzQs, https://goo.su/GRDzA, https://goo.su/SeU1W, https://goo.su/84gRmBx, https://goo.su/Duq8pP1, https://goo.su/KahH, https://goo.su/Lnmz2O, https://goo.su/03WHXWu, https://goo.su/2L1XjRh, https://goo.su/KM8Sm4, https://goo.su/TkYzU4, https://goo.su/NS3b, https://goo.su/qa6Ca, https://goo.su/FVXz, https://goo.su/jFzh, https://goo.su/Y8BPS, https://goo.su/UqzyJ, https://goo.su/mJgbSjS, https://goo.su/YxVxD"
CORPESCA S A,Chile,
BLUMAR S A,Chile,
Alimentos Pesqueros SpA,Chile,
Industria Procesadora de Aceites y Grasas S.A.,Chile,
Biomar Pargua,Chile,
FoodCorp Chile S.A.,Chile,
Golden Omega SA,Chile,
Biomar Castro,Chile,
Salmonoil S.A.,Chile,
Mar Fusion S.A.,Chile,
Lota Protein SA,Chile,
Pesca Chile S.A,Chile,
Pesquera Bahía Caldera S.A.,Chile,
PESQUERA FIORDO AUSTRAL S A,Chile,
Química Industrial SPES S.A.,Chile,
Setop SA,Chile,
ALIMENTSA S.A.,Ecuador,
FASA,Brazil,https://goo.su/zQRPx1
Peruvian Sea Food S.A.,Peru,
